"","V1","module"
"1","Cdkn2c",1
"2","Cdca3",1
"3","Tacc3",1
"4","Foxp3",1
"5","Ctla4",1
"6","Tigit",1
"7","Gzmm",1
"8","Gzmb",1
"9","Icos",1
"10","Irf4",1
"11","Nrp1",1
"12","Cxcr5",1
"13","Mki67",1
"14","Kit",1
"15","Tnfsf11",2
"16","Vav2",2
"17","Ndrg1",2
"18","Il17rb",2
"19","Lag3",2
"20","Nr4a3",2
"21","Nr4a1",2
"22","Ikzf3",2
"23","Pdcd1",2
"24","Tnfrsf9",2
"25","Tnfrsf4",2
"26","Cd5",2
"27","Il6st",2
"28","Folr4",2
"29","Tox",2
"30","Il21",2
"31","Pdcd1lg2",2
"32","Ccr4",3
"33","Ccr6",3
"34","Thy1",3
"35","Tubb2b",3
"36","Dtx1",4
"37","Cxcr4",4
"38","Egr1",4
"39","Egr2",4
"40","Egr3",4
"41","Cxcr3",4
"42","Fosb",4
"43","Tbx21",4
"44","H2-T3",5
"45","Il7r",5
"46","Jun",5
"47","Fos",5
"48","Entpd1",6
"49","Il2ra",6
"50","Gzma",6
"51","Nt5e",6
"52","Tnfsf14",6
